CR (Comprehensive Reporting) Consumers,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Equifax customers who supply CR data are encouraged to create their own CR test data by sending in batches of CR test data in the RCANZ format to Equifax CTA environment.  Equifax will load these and you can then do tests against that data.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Equifax maintains the following CR individuals with payment statuses.,,,,,,,,,,,,,,,,,,,,,,,
First Name,Middle Name,Surname,Date of Birth,Gender,Street Number,Street Name,Street Type,Suburb,City/Town,Status,Type of Account,Payment Frequency,Account Relationship,Open Date,Cust Start Date,Cust Cease Date,Closed Date,Credit Limit,"Payment Status 
(loaded monthly by Veda)",Payment Default ,Collection Agency Default,Judgment,Insolvencies
Perpugilliam,Androzani,Brown,10/11/60,Female,9,O'Brien,Road,Albany,Auckland,A,CC,M,Individual,6/5/11,6/5/11,,," US$	10,000.00 ",2,1 x $500 paid,,,
Perpugilliam,Androzani,Brown,10/11/60,Female,9,O'Brien,Road,Albany,Auckland,H,RM,V,Individual,5/6/03,5/6/03,,," US$	800,000.00 ",2,,,,
Perpugilliam,Androzani,Brown,10/11/60,Female,9,O'Brien,Road,Albany,Auckland,A,AL,M,Individual,12/13/09,12/13/09,,," US$	32,000.00 ",2,,,,
Dorothea,Dodo,Chaplet,2/15/66,F,414,seaward,road,rd22,Geraldine,A,RM,M,Individual,1/12/10,1/12/10,,," US$	3,000.00 ",3,,,,
Ian ,Thal,Chesterton,12/14/63,Male,35,blighs,road,strowan,Christchurch,U,CC,M,Individual,7/9/11,7/9/11,,,8000,2,,,,
Ian ,Thal,Chesterton,12/14/63,Male,35,blighs,road,strowan,Christchurch,A,RM,M,Joint,5/12/13,5/12/13,,,225000,2,,,,
Ian ,Thal,Chesterton,12/14/63,Male,35,blighs,road,strowan,Christchurch,A,OD,M,Joint,11/17/12,11/17/12,,,19000,2,,,,
Jo,Gelguard,Grant,1/2/71,F,32,jillteresa,crescent,half moon bay,auckland,A,AL,M,Individual,4/23/08,4/23/08,,," US$	16,000.00 ",2,,,,
Zoe ,,Herriot,4/27/68,Female,46,wheretia,street,,taupo,H,CC,M,Individual,6/28/12,6/28/12,,,5000,H,,,,
Zoe ,,Herriot,4/27/68,Female,46,wheretia,street,,taupo,A,RM,M,Individual,2/22/12,2/22/12,,,45000,2,,,,
Zoe ,,Herriot,4/27/68,Female,46,wheretia,street,,taupo,A,OD,M,Individual,1/12/13,1/12/13,,,3000,1,,,,
Ben,Macra,Jackson,6/25/66,Male,27,wildish,street,outer kaiti,gisborne,A,CC,M,Joint,5/12/12,5/12/12,,," US$	30,000.00 ",1,,2 x unpaid ,,
Ben,Macra,Jackson,6/25/66,Male,27,wildish,street,outer kaiti,gisborne,A,RM,F,Joint,3/4/07,3/4/07,12/6/12,," US$	80,000.00 ",,,,,
Ben,Macra,Jackson,6/25/66,Male,27,wildish,street,outer kaiti,gisborne,A,OD,M,Individual,4/22/11,4/22/11,,," US$	1,000.00 ",3,,,,
Tegan ,,Jovanka,2/28/81,Female,51,gibbon,street,Sydenham,Christchurch,A,CC,M,Individual,8/6/10,8/6/10,,,10000,5,,1 x $2999,,
Tegan ,,Jovanka,2/28/81,Female,51,gibbon,street,Sydenham,Christchurch,A,RM,V,Individual,9/6/12,9/6/12,,,400000,0,,,,
Tegan ,,Jovanka,2/28/81,Female,51,gibbon,street,Sydenham,Christchurch,H,PL,M,Individual,10/27/07,10/27/07,,,8000,1,,,,
